coluna,registros_total,registros_nulos,registros_preenchidos,percentual_nulos
CO_SUBDISTRITO,178772,177481,1291,99.28
NO_SUBDISTRITO,178772,177481,1291,99.28
TP_PODER_PUBLICO_PARCERIA,178772,168694,10078,94.36
TP_CATEGORIA_ESCOLA_PRIVADA,178772,137021,41751,76.65
NO_REGIAO_GEOG_INTERM,178772,1,178771,0.0
NO_UF,178772,1,178771,0.0
NO_MUNICIPIO,178772,1,178771,0.0
NO_REGIAO,178772,1,178771,0.0
CO_REGIAO_GEOG_IMED,178772,1,178771,0.0
NO_REGIAO_GEOG_IMED,178772,1,178771,0.0
NO_DISTRITO,178772,1,178771,0.0
CO_REGIAO_GEOG_INTERM,178772,1,178771,0.0
SG_UF,178772,1,178771,0.0
CO_MUNICIPIO,178772,0,178772,0.0
NU_ANO_CENSO,178772,0,178772,0.0
CO_UF,178772,0,178772,0.0
CO_DISTRITO,178772,0,178772,0.0
NO_ENTIDADE,178772,0,178772,0.0
CO_REDE,178772,0,178772,0.0
CO_ENTIDADE,178772,0,178772,0.0
TP_DEPENDENCIA,178772,0,178772,0.0
TP_LOCALIZACAO,178772,0,178772,0.0
TP_LOCALIZACAO_DIFERENCIADA,178772,0,178772,0.0
CO_REGIAO,178772,0,178772,0.0
IN_PODER_PUBLICO_PARCERIA,178772,0,178772,0.0
QT_DOC_BAS,178772,0,178772,0.0
QT_DOC_INF,178772,0,178772,0.0
QT_DOC_INF_CRE,178772,0,178772,0.0
QT_DOC_INF_PRE,178772,0,178772,0.0
QT_DOC_FUND,178772,0,178772,0.0
QT_DOC_FUND_AI,178772,0,178772,0.0
QT_DOC_FUND_AI_1,178772,0,178772,0.0
QT_DOC_FUND_AI_2,178772,0,178772,0.0
QT_DOC_FUND_AI_3,178772,0,178772,0.0
QT_DOC_FUND_AI_4,178772,0,178772,0.0
QT_DOC_FUND_AI_5,178772,0,178772,0.0
QT_DOC_FUND_AI_MULTIETAPA,178772,0,178772,0.0
QT_DOC_FUND_AF,178772,0,178772,0.0
QT_DOC_FUND_AF_6,178772,0,178772,0.0
QT_DOC_FUND_AF_7,178772,0,178772,0.0
QT_DOC_FUND_AF_8,178772,0,178772,0.0
QT_DOC_FUND_AF_9,178772,0,178772,0.0
QT_DOC_FUND_AF_MULTI,178772,0,178772,0.0
QT_DOC_FUND_AF_CORRFLUXO,178772,0,178772,0.0
QT_DOC_MED,178772,0,178772,0.0
QT_DOC_MED_1,178772,0,178772,0.0
QT_DOC_MED_2,178772,0,178772,0.0
QT_DOC_MED_3,178772,0,178772,0.0
QT_DOC_MED_4,178772,0,178772,0.0
QT_DOC_MED_NS,178772,0,178772,0.0
QT_DOC_MED_PROP,178772,0,178772,0.0
QT_DOC_MED_PROP_1,178772,0,178772,0.0
QT_DOC_MED_PROP_2,178772,0,178772,0.0
QT_DOC_MED_PROP_3,178772,0,178772,0.0
QT_DOC_MED_PROP_4,178772,0,178772,0.0
QT_DOC_MED_PROP_NS,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT_1,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT_2,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT_3,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT_4,178772,0,178772,0.0
QT_DOC_MED_IFTP_CT_NS,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP_1,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP_2,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP_3,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP_4,178772,0,178772,0.0
QT_DOC_MED_IFTP_QP_NS,178772,0,178772,0.0
QT_DOC_MED_NM,178772,0,178772,0.0
QT_DOC_MED_NM_1,178772,0,178772,0.0
QT_DOC_MED_NM_2,178772,0,178772,0.0
QT_DOC_MED_NM_3,178772,0,178772,0.0
QT_DOC_MED_NM_4,178772,0,178772,0.0
QT_DOC_PROF,178772,0,178772,0.0
QT_DOC_PROF_TEC,178772,0,178772,0.0
QT_DOC_PROF_TEC_CONC,178772,0,178772,0.0
QT_DOC_PROF_TEC_SUBS,178772,0,178772,0.0
QT_DOC_PROF_TEC_MISTO,178772,0,178772,0.0
QT_DOC_PROF_TEC_IFTP_CT,178772,0,178772,0.0
QT_DOC_PROF_NAO_TEC,178772,0,178772,0.0
QT_DOC_PROF_IFTP_QP,178772,0,178772,0.0
QT_DOC_PROF_FIC_CONC,178772,0,178772,0.0
QT_DOC_EJA,178772,0,178772,0.0
QT_DOC_EJA_FUND,178772,0,178772,0.0
QT_DOC_EJA_FUND_NPROF,178772,0,178772,0.0
QT_DOC_EJA_FUND_AI,178772,0,178772,0.0
QT_DOC_EJA_FUND_AF,178772,0,178772,0.0
QT_DOC_EJA_FUND_FIC,178772,0,178772,0.0
QT_DOC_EJA_MED,178772,0,178772,0.0
QT_DOC_EJA_MED_NPROF,178772,0,178772,0.0
QT_DOC_EJA_MED_FIC,178772,0,178772,0.0
QT_DOC_EJA_MED_TEC,178772,0,178772,0.0
QT_DOC_ESP,178772,0,178772,0.0
QT_DOC_ESP_CC,178772,0,178772,0.0
QT_DOC_ESP_CE,178772,0,178772,0.0
QT_DOC_BAS_FEM,178772,0,178772,0.0
QT_DOC_BAS_MASC,178772,0,178772,0.0
QT_DOC_BAS_ND,178772,0,178772,0.0
