ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
1,NU_ANO_CENSO,int64,214192,214192,100.0
2,NO_REGIAO,object,214192,214191,100.0
3,CO_REGIAO,int64,214192,214192,100.0
4,NO_UF,object,214192,214191,100.0
5,SG_UF,object,214192,214191,100.0
6,CO_UF,int64,214192,214192,100.0
7,NO_MUNICIPIO,object,214192,214191,100.0
8,CO_MUNICIPIO,int64,214192,214192,100.0
9,NO_REGIAO_GEOG_INTERM,object,214192,214191,100.0
10,CO_REGIAO_GEOG_INTERM,float64,214192,214191,100.0
11,NO_REGIAO_GEOG_IMED,object,214192,214191,100.0
12,CO_REGIAO_GEOG_IMED,float64,214192,214191,100.0
13,NO_DISTRITO,object,214192,214191,100.0
14,CO_DISTRITO,int64,214192,214192,100.0
15,NO_SUBDISTRITO,object,214192,1471,0.69
16,CO_SUBDISTRITO,float64,214192,1471,0.69
17,NO_ENTIDADE,object,214192,214192,100.0
18,CO_ENTIDADE,int64,214192,214192,100.0
19,CO_REDE,int64,214192,214192,100.0
20,TP_DEPENDENCIA,int64,214192,214192,100.0
21,TP_CATEGORIA_ESCOLA_PRIVADA,float64,214192,42454,19.82
22,TP_LOCALIZACAO,int64,214192,214192,100.0
23,TP_LOCALIZACAO_DIFERENCIADA,float64,214192,180540,84.29
24,TP_SITUACAO_FUNCIONAMENTO,int64,214192,214192,100.0
25,CO_ORGAO_REGIONAL,object,214192,209611,97.86
26,DT_ANO_LETIVO_INICIO,object,214192,180540,84.29
27,DT_ANO_LETIVO_TERMINO,object,214192,180540,84.29
28,IN_VINCULO_SECRETARIA_EDUCACAO,float64,214192,138086,64.47
29,IN_VINCULO_SEGURANCA_PUBLICA,float64,214192,138086,64.47
30,IN_VINCULO_SECRETARIA_SAUDE,float64,214192,138086,64.47
31,IN_VINCULO_OUTRO_ORGAO,float64,214192,138086,64.47
32,IN_PODER_PUBLICO_PARCERIA,float64,214192,180540,84.29
33,TP_PODER_PUBLICO_PARCERIA,float64,214192,10548,4.92
34,IN_FORMA_CONT_TERMO_COLABORA,float64,214192,10548,4.92
35,IN_FORMA_CONT_TERMO_FOMENTO,float64,214192,10548,4.92
36,IN_FORMA_CONT_ACORDO_COOP,float64,214192,10548,4.92
37,IN_FORMA_CONT_PRESTACAO_SERV,float64,214192,10548,4.92
38,IN_FORMA_CONT_COOP_TEC_FIN,float64,214192,10548,4.92
39,IN_FORMA_CONT_CONSORCIO_PUB,float64,214192,10548,4.92
40,IN_FORMA_CONT_MU_TERMO_COLAB,float64,214192,9358,4.37
41,IN_FORMA_CONT_MU_TERMO_FOMENTO,float64,214192,9358,4.37
42,IN_FORMA_CONT_MU_ACORDO_COOP,float64,214192,9358,4.37
43,IN_FORMA_CONT_MU_PREST_SERV,float64,214192,9358,4.37
44,IN_FORMA_CONT_MU_COOP_TEC_FIN,float64,214192,9358,4.37
45,IN_FORMA_CONT_MU_CONSORCIO_PUB,float64,214192,9358,4.37
46,IN_FORMA_CONT_ES_TERMO_COLAB,float64,214192,2202,1.03
47,IN_FORMA_CONT_ES_TERMO_FOMENTO,float64,214192,2202,1.03
48,IN_FORMA_CONT_ES_ACORDO_COOP,float64,214192,2202,1.03
49,IN_FORMA_CONT_ES_PREST_SERV,float64,214192,2202,1.03
50,IN_FORMA_CONT_ES_COOP_TEC_FIN,float64,214192,2202,1.03
51,IN_FORMA_CONT_ES_CONSORCIO_PUB,float64,214192,2202,1.03
52,IN_MANT_ESCOLA_PRIVADA_EMP,float64,214192,42454,19.82
53,IN_MANT_ESCOLA_PRIVADA_ONG,float64,214192,42454,19.82
54,IN_MANT_ESCOLA_PRIVADA_OSCIP,float64,214192,42454,19.82
55,IN_MANT_ESCOLA_PRIV_ONG_OSCIP,float64,214192,42454,19.82
56,IN_MANT_ESCOLA_PRIVADA_SIND,float64,214192,42454,19.82
57,IN_MANT_ESCOLA_PRIVADA_SIST_S,float64,214192,42454,19.82
58,IN_MANT_ESCOLA_PRIVADA_S_FINS,float64,214192,42454,19.82
59,NU_CNPJ_ESCOLA_PRIVADA,float64,214192,42454,19.82
60,NU_CNPJ_MANTENEDORA,float64,214192,42454,19.82
61,TP_REGULAMENTACAO,float64,214192,180540,84.29
62,TP_RESPONSAVEL_REGULAMENTACAO,float64,214192,176674,82.48
63,CO_ESCOLA_SEDE_VINCULADA,float64,214192,3545,1.66
64,CO_IES_OFERTANTE,float64,214192,391,0.18
65,IN_LOCAL_FUNC_PREDIO_ESCOLAR,float64,214192,180540,84.29
66,TP_OCUPACAO_PREDIO_ESCOLAR,float64,214192,177547,82.89
67,IN_LOCAL_FUNC_SOCIOEDUCATIVO,float64,214192,180540,84.29
68,IN_LOCAL_FUNC_UNID_PRISIONAL,float64,214192,180540,84.29
69,IN_LOCAL_FUNC_PRISIONAL_SOCIO,float64,214192,180540,84.29
70,IN_LOCAL_FUNC_GALPAO,float64,214192,180540,84.29
71,TP_OCUPACAO_GALPAO,float64,214192,2179,1.02
72,IN_LOCAL_FUNC_SALAS_OUTRA_ESC,float64,214192,180540,84.29
73,IN_LOCAL_FUNC_OUTROS,float64,214192,180540,84.29
74,IN_PREDIO_COMPARTILHADO,float64,214192,180540,84.29
75,IN_AGUA_POTAVEL,float64,214192,180540,84.29
76,IN_AGUA_REDE_PUBLICA,float64,214192,180540,84.29
77,IN_AGUA_POCO_ARTESIANO,float64,214192,180540,84.29
78,IN_AGUA_CACIMBA,float64,214192,180540,84.29
79,IN_AGUA_FONTE_RIO,float64,214192,180540,84.29
80,IN_AGUA_INEXISTENTE,float64,214192,180540,84.29
81,IN_AGUA_CARRO_PIPA,float64,214192,180540,84.29
82,IN_ENERGIA_REDE_PUBLICA,float64,214192,180540,84.29
83,IN_ENERGIA_GERADOR_FOSSIL,float64,214192,180540,84.29
84,IN_ENERGIA_RENOVAVEL,float64,214192,180540,84.29
85,IN_ENERGIA_INEXISTENTE,float64,214192,180540,84.29
86,IN_ESGOTO_REDE_PUBLICA,float64,214192,180540,84.29
87,IN_ESGOTO_FOSSA_SEPTICA,float64,214192,180540,84.29
88,IN_ESGOTO_FOSSA_COMUM,float64,214192,180540,84.29
89,IN_ESGOTO_FOSSA,float64,214192,180540,84.29
90,IN_ESGOTO_INEXISTENTE,float64,214192,180540,84.29
91,IN_LIXO_SERVICO_COLETA,float64,214192,180540,84.29
92,IN_LIXO_QUEIMA,float64,214192,180540,84.29
93,IN_LIXO_ENTERRA,float64,214192,180540,84.29
94,IN_LIXO_DESTINO_FINAL_PUBLICO,float64,214192,180540,84.29
95,IN_LIXO_DESCARTA_OUTRA_AREA,float64,214192,180540,84.29
96,IN_TRATAMENTO_LIXO_SEPARACAO,float64,214192,180540,84.29
97,IN_TRATAMENTO_LIXO_REUTILIZA,float64,214192,180540,84.29
98,IN_TRATAMENTO_LIXO_RECICLAGEM,float64,214192,180540,84.29
99,IN_TRATAMENTO_LIXO_INEXISTENTE,float64,214192,180540,84.29
100,IN_ALMOXARIFADO,float64,214192,180540,84.29
101,IN_AREA_VERDE,float64,214192,180540,84.29
102,IN_AREA_PLANTIO,float64,214192,180540,84.29
103,IN_AUDITORIO,float64,214192,180540,84.29
104,IN_BANHEIRO,float64,214192,180540,84.29
105,IN_BANHEIRO_EI,float64,214192,180540,84.29
106,IN_BANHEIRO_PNE,float64,214192,180540,84.29
107,IN_BANHEIRO_FUNCIONARIOS,float64,214192,180540,84.29
108,IN_BANHEIRO_CHUVEIRO,float64,214192,180540,84.29
109,IN_BIBLIOTECA,float64,214192,180540,84.29
110,IN_BIBLIOTECA_SALA_LEITURA,float64,214192,180540,84.29
111,IN_COZINHA,float64,214192,180540,84.29
112,IN_DESPENSA,float64,214192,180540,84.29
113,IN_DORMITORIO_ALUNO,float64,214192,180540,84.29
114,IN_DORMITORIO_PROFESSOR,float64,214192,180540,84.29
115,IN_LABORATORIO_CIENCIAS,float64,214192,180540,84.29
116,IN_LABORATORIO_INFORMATICA,float64,214192,180540,84.29
117,IN_LABORATORIO_EDUC_PROF,float64,214192,180540,84.29
118,IN_PATIO_COBERTO,float64,214192,180540,84.29
119,IN_PATIO_DESCOBERTO,float64,214192,180540,84.29
120,IN_PARQUE_INFANTIL,float64,214192,180540,84.29
121,IN_PISCINA,float64,214192,180540,84.29
122,IN_QUADRA_ESPORTES,float64,214192,180540,84.29
123,IN_QUADRA_ESPORTES_COBERTA,float64,214192,180540,84.29
124,IN_QUADRA_ESPORTES_DESCOBERTA,float64,214192,180540,84.29
125,IN_REFEITORIO,float64,214192,180540,84.29
126,IN_SALA_ATELIE_ARTES,float64,214192,180540,84.29
127,IN_SALA_MUSICA_CORAL,float64,214192,180540,84.29
128,IN_SALA_ESTUDIO_DANCA,float64,214192,180540,84.29
129,IN_SALA_MULTIUSO,float64,214192,180540,84.29
130,IN_SALA_ESTUDIO_GRAVACAO,float64,214192,180540,84.29
131,IN_SALA_OFICINAS_EDUC_PROF,float64,214192,180540,84.29
132,IN_SALA_DIRETORIA,float64,214192,180540,84.29
133,IN_SALA_LEITURA,float64,214192,180540,84.29
134,IN_SALA_PROFESSOR,float64,214192,180540,84.29
135,IN_SALA_REPOUSO_ALUNO,float64,214192,180540,84.29
136,IN_SECRETARIA,float64,214192,180540,84.29
137,IN_SALA_ATENDIMENTO_ESPECIAL,float64,214192,180540,84.29
138,IN_TERREIRAO,float64,214192,180540,84.29
139,IN_VIVEIRO,float64,214192,180540,84.29
140,IN_DEPENDENCIAS_OUTRAS,float64,214192,180540,84.29
141,IN_ACESSIBILIDADE_CORRIMAO,float64,214192,180540,84.29
142,IN_ACESSIBILIDADE_ELEVADOR,float64,214192,180540,84.29
143,IN_ACESSIBILIDADE_PISOS_TATEIS,float64,214192,180540,84.29
144,IN_ACESSIBILIDADE_VAO_LIVRE,float64,214192,180540,84.29
145,IN_ACESSIBILIDADE_RAMPAS,float64,214192,180540,84.29
146,IN_ACESSIBILIDADE_SINAL_SONORO,float64,214192,180540,84.29
147,IN_ACESSIBILIDADE_SINAL_TATIL,float64,214192,180540,84.29
148,IN_ACESSIBILIDADE_SINAL_VISUAL,float64,214192,180540,84.29
149,IN_ACESSIBILIDADE_INEXISTENTE,float64,214192,180540,84.29
150,IN_ACESSIBILIDADE_SINALIZACAO,float64,214192,180540,84.29
151,QT_SALAS_UTILIZADAS_DENTRO,float64,214192,180540,84.29
152,QT_SALAS_UTILIZADAS_FORA,float64,214192,180540,84.29
153,QT_SALAS_UTILIZADAS,float64,214192,180540,84.29
154,QT_SALAS_UTILIZA_CLIMATIZADAS,float64,214192,180540,84.29
155,QT_SALAS_UTILIZADAS_ACESSIVEIS,float64,214192,180540,84.29
156,QT_SALAS_LEITURA,float64,214192,180540,84.29
