coluna,registros_total,registros_nulos,registros_preenchidos,percentual_nulos
CO_LINGUA_INDIGENA_3,214192,214065,127,99.94
CO_LINGUA_INDIGENA_2,214192,213827,365,99.83
CO_IES_OFERTANTE,214192,213801,391,99.82
CO_SUBDISTRITO,214192,212721,1471,99.31
NO_SUBDISTRITO,214192,212721,1471,99.31
TP_OCUPACAO_GALPAO,214192,212013,2179,98.98
IN_FORMA_CONT_ES_TERMO_FOMENTO,214192,211990,2202,98.97
IN_FORMA_CONT_ES_TERMO_COLAB,214192,211990,2202,98.97
IN_FORMA_CONT_ES_COOP_TEC_FIN,214192,211990,2202,98.97
IN_FORMA_CONT_ES_ACORDO_COOP,214192,211990,2202,98.97
IN_FORMA_CONT_ES_CONSORCIO_PUB,214192,211990,2202,98.97
IN_FORMA_CONT_ES_PREST_SERV,214192,211990,2202,98.97
CO_LINGUA_INDIGENA_1,214192,211318,2874,98.66
CO_ESCOLA_SEDE_VINCULADA,214192,210647,3545,98.34
TP_INDIGENA_LINGUA,214192,210480,3712,98.27
IN_RESERVA_PUBLICA,214192,206608,7584,96.46
IN_RESERVA_PPI,214192,206608,7584,96.46
IN_RESERVA_RENDA,214192,206608,7584,96.46
IN_RESERVA_PCD,214192,206608,7584,96.46
IN_RESERVA_OUTROS,214192,206608,7584,96.46
IN_RESERVA_NENHUMA,214192,206608,7584,96.46
IN_FORMA_CONT_MU_PREST_SERV,214192,204834,9358,95.63
IN_FORMA_CONT_MU_COOP_TEC_FIN,214192,204834,9358,95.63
IN_FORMA_CONT_MU_CONSORCIO_PUB,214192,204834,9358,95.63
IN_FORMA_CONT_MU_TERMO_FOMENTO,214192,204834,9358,95.63
IN_FORMA_CONT_MU_TERMO_COLAB,214192,204834,9358,95.63
IN_FORMA_CONT_MU_ACORDO_COOP,214192,204834,9358,95.63
IN_FORMA_CONT_PRESTACAO_SERV,214192,203644,10548,95.08
IN_FORMA_CONT_COOP_TEC_FIN,214192,203644,10548,95.08
IN_FORMA_CONT_CONSORCIO_PUB,214192,203644,10548,95.08
IN_FORMA_CONT_TERMO_COLABORA,214192,203644,10548,95.08
TP_PODER_PUBLICO_PARCERIA,214192,203644,10548,95.08
IN_FORMA_CONT_ACORDO_COOP,214192,203644,10548,95.08
IN_FORMA_CONT_TERMO_FOMENTO,214192,203644,10548,95.08
NU_CNPJ_MANTENEDORA,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_SIST_S,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_SIND,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIV_ONG_OSCIP,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_OSCIP,214192,171738,42454,80.18
TP_CATEGORIA_ESCOLA_PRIVADA,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_ONG,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_EMP,214192,171738,42454,80.18
IN_MANT_ESCOLA_PRIVADA_S_FINS,214192,171738,42454,80.18
NU_CNPJ_ESCOLA_PRIVADA,214192,171738,42454,80.18
IN_VINCULO_OUTRO_ORGAO,214192,76106,138086,35.53
IN_VINCULO_SEGURANCA_PUBLICA,214192,76106,138086,35.53
IN_VINCULO_SECRETARIA_SAUDE,214192,76106,138086,35.53
IN_VINCULO_SECRETARIA_EDUCACAO,214192,76106,138086,35.53
IN_BANDA_LARGA,214192,43430,170762,20.28
TP_RESPONSAVEL_REGULAMENTACAO,214192,37518,176674,17.52
TP_OCUPACAO_PREDIO_ESCOLAR,214192,36645,177547,17.11
IN_PROFISSIONALIZANTE,214192,35417,178775,16.54
DT_ANO_LETIVO_INICIO,214192,33652,180540,15.71
DT_ANO_LETIVO_TERMINO,214192,33652,180540,15.71
IN_PODER_PUBLICO_PARCERIA,214192,33652,180540,15.71
IN_ITINERARIO_TECN_PROF,214192,33652,180540,15.71
IN_ESCOLARIZACAO,214192,33652,180540,15.71
IN_MEDIACAO_PRESENCIAL,214192,33652,180540,15.71
IN_LOCAL_FUNC_PREDIO_ESCOLAR,214192,33652,180540,15.71
IN_COMUM_FUND_AF,214192,33652,180540,15.71
IN_AGUA_INEXISTENTE,214192,33652,180540,15.71
IN_AGUA_CARRO_PIPA,214192,33652,180540,15.71
TP_REGULAMENTACAO,214192,33652,180540,15.71
IN_TRATAMENTO_LIXO_SEPARACAO,214192,33652,180540,15.71
IN_TRATAMENTO_LIXO_REUTILIZA,214192,33652,180540,15.71
IN_LOCAL_FUNC_SOCIOEDUCATIVO,214192,33652,180540,15.71
IN_LOCAL_FUNC_UNID_PRISIONAL,214192,33652,180540,15.71
IN_LOCAL_FUNC_PRISIONAL_SOCIO,214192,33652,180540,15.71
IN_LOCAL_FUNC_GALPAO,214192,33652,180540,15.71
IN_LOCAL_FUNC_SALAS_OUTRA_ESC,214192,33652,180540,15.71
IN_LOCAL_FUNC_OUTROS,214192,33652,180540,15.71
IN_PREDIO_COMPARTILHADO,214192,33652,180540,15.71
IN_AGUA_POTAVEL,214192,33652,180540,15.71
IN_AGUA_REDE_PUBLICA,214192,33652,180540,15.71
IN_AGUA_POCO_ARTESIANO,214192,33652,180540,15.71
IN_AGUA_CACIMBA,214192,33652,180540,15.71
IN_AGUA_FONTE_RIO,214192,33652,180540,15.71
IN_DESPENSA,214192,33652,180540,15.71
IN_DORMITORIO_ALUNO,214192,33652,180540,15.71
IN_ENERGIA_REDE_PUBLICA,214192,33652,180540,15.71
IN_ENERGIA_GERADOR_FOSSIL,214192,33652,180540,15.71
IN_ENERGIA_RENOVAVEL,214192,33652,180540,15.71
IN_ENERGIA_INEXISTENTE,214192,33652,180540,15.71
IN_ESGOTO_REDE_PUBLICA,214192,33652,180540,15.71
IN_ESGOTO_FOSSA_SEPTICA,214192,33652,180540,15.71
IN_ESGOTO_FOSSA_COMUM,214192,33652,180540,15.71
IN_ESGOTO_FOSSA,214192,33652,180540,15.71
IN_ESGOTO_INEXISTENTE,214192,33652,180540,15.71
IN_LIXO_SERVICO_COLETA,214192,33652,180540,15.71
IN_LIXO_QUEIMA,214192,33652,180540,15.71
IN_LIXO_ENTERRA,214192,33652,180540,15.71
IN_LIXO_DESTINO_FINAL_PUBLICO,214192,33652,180540,15.71
IN_LIXO_DESCARTA_OUTRA_AREA,214192,33652,180540,15.71
IN_SALA_ESTUDIO_DANCA,214192,33652,180540,15.71
IN_SALA_MULTIUSO,214192,33652,180540,15.71
IN_TRATAMENTO_LIXO_RECICLAGEM,214192,33652,180540,15.71
IN_TRATAMENTO_LIXO_INEXISTENTE,214192,33652,180540,15.71
IN_ALMOXARIFADO,214192,33652,180540,15.71
IN_AREA_VERDE,214192,33652,180540,15.71
IN_AREA_PLANTIO,214192,33652,180540,15.71
IN_AUDITORIO,214192,33652,180540,15.71
IN_BANHEIRO,214192,33652,180540,15.71
IN_BANHEIRO_EI,214192,33652,180540,15.71
IN_BANHEIRO_PNE,214192,33652,180540,15.71
