ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
1,NU_ANO_CENSO,int64,178766,178766,100.0
2,NO_REGIAO,object,178766,178765,100.0
3,CO_REGIAO,int64,178766,178766,100.0
4,NO_UF,object,178766,178765,100.0
5,SG_UF,object,178766,178765,100.0
6,CO_UF,int64,178766,178766,100.0
7,NO_MUNICIPIO,object,178766,178765,100.0
8,CO_MUNICIPIO,int64,178766,178766,100.0
9,NO_REGIAO_GEOG_INTERM,object,178766,178765,100.0
10,CO_REGIAO_GEOG_INTERM,float64,178766,178765,100.0
11,NO_REGIAO_GEOG_IMED,object,178766,178765,100.0
12,CO_REGIAO_GEOG_IMED,float64,178766,178765,100.0
13,NO_DISTRITO,object,178766,178765,100.0
14,CO_DISTRITO,int64,178766,178766,100.0
15,NO_SUBDISTRITO,object,178766,1291,0.72
16,CO_SUBDISTRITO,float64,178766,1291,0.72
17,NO_ENTIDADE,object,178766,178766,100.0
18,CO_ENTIDADE,int64,178766,178766,100.0
19,CO_REDE,int64,178766,178766,100.0
20,TP_DEPENDENCIA,int64,178766,178766,100.0
21,TP_CATEGORIA_ESCOLA_PRIVADA,float64,178766,41746,23.35
22,TP_LOCALIZACAO,int64,178766,178766,100.0
23,TP_LOCALIZACAO_DIFERENCIADA,int64,178766,178766,100.0
24,IN_PODER_PUBLICO_PARCERIA,int64,178766,178766,100.0
25,TP_PODER_PUBLICO_PARCERIA,float64,178766,10077,5.64
26,QT_MAT_BAS,int64,178766,178766,100.0
27,QT_MAT_INF,int64,178766,178766,100.0
28,QT_MAT_INF_CRE,int64,178766,178766,100.0
29,QT_MAT_INF_PRE,int64,178766,178766,100.0
30,QT_MAT_FUND,int64,178766,178766,100.0
31,QT_MAT_FUND_AI,int64,178766,178766,100.0
32,QT_MAT_FUND_AI_1,int64,178766,178766,100.0
33,QT_MAT_FUND_AI_2,int64,178766,178766,100.0
34,QT_MAT_FUND_AI_3,int64,178766,178766,100.0
35,QT_MAT_FUND_AI_4,int64,178766,178766,100.0
36,QT_MAT_FUND_AI_5,int64,178766,178766,100.0
37,QT_MAT_FUND_AF,int64,178766,178766,100.0
38,QT_MAT_FUND_AF_6,int64,178766,178766,100.0
39,QT_MAT_FUND_AF_7,int64,178766,178766,100.0
40,QT_MAT_FUND_AF_8,int64,178766,178766,100.0
41,QT_MAT_FUND_AF_9,int64,178766,178766,100.0
42,QT_MAT_MED,int64,178766,178766,100.0
43,QT_MAT_MED_1,int64,178766,178766,100.0
44,QT_MAT_MED_2,int64,178766,178766,100.0
45,QT_MAT_MED_3,int64,178766,178766,100.0
46,QT_MAT_MED_4,int64,178766,178766,100.0
47,QT_MAT_MED_NS,int64,178766,178766,100.0
48,QT_MAT_MED_PROP,int64,178766,178766,100.0
49,QT_MAT_MED_PROP_1,int64,178766,178766,100.0
50,QT_MAT_MED_PROP_2,int64,178766,178766,100.0
51,QT_MAT_MED_PROP_3,int64,178766,178766,100.0
52,QT_MAT_MED_PROP_4,int64,178766,178766,100.0
53,QT_MAT_MED_PROP_NS,int64,178766,178766,100.0
54,QT_MAT_MED_IFTP_CT,int64,178766,178766,100.0
55,QT_MAT_MED_IFTP_CT_MT,int64,178766,178766,100.0
56,QT_MAT_MED_IFTP_CT_OTME,int64,178766,178766,100.0
57,QT_MAT_MED_IFTP_CT_OE,int64,178766,178766,100.0
58,QT_MAT_MED_IFTP_CT_1,int64,178766,178766,100.0
59,QT_MAT_MED_IFTP_CT_2,int64,178766,178766,100.0
60,QT_MAT_MED_IFTP_CT_3,int64,178766,178766,100.0
61,QT_MAT_MED_IFTP_CT_4,int64,178766,178766,100.0
62,QT_MAT_MED_IFTP_CT_NS,int64,178766,178766,100.0
63,QT_MAT_MED_IFTP_QP,int64,178766,178766,100.0
64,QT_MAT_MED_IFTP_QP_MT,int64,178766,178766,100.0
65,QT_MAT_MED_IFTP_QP_OTME,int64,178766,178766,100.0
66,QT_MAT_MED_IFTP_QP_OE,int64,178766,178766,100.0
67,QT_MAT_MED_IFTP_QP_1,int64,178766,178766,100.0
68,QT_MAT_MED_IFTP_QP_2,int64,178766,178766,100.0
69,QT_MAT_MED_IFTP_QP_3,int64,178766,178766,100.0
70,QT_MAT_MED_IFTP_QP_4,int64,178766,178766,100.0
71,QT_MAT_MED_IFTP_QP_NS,int64,178766,178766,100.0
72,QT_MAT_MED_NM,int64,178766,178766,100.0
73,QT_MAT_MED_NM_1,int64,178766,178766,100.0
74,QT_MAT_MED_NM_2,int64,178766,178766,100.0
75,QT_MAT_MED_NM_3,int64,178766,178766,100.0
76,QT_MAT_MED_NM_4,int64,178766,178766,100.0
77,QT_MAT_MED_IFA,int64,178766,178766,100.0
78,QT_MAT_MED_IFA_LING,int64,178766,178766,100.0
79,QT_MAT_MED_IFA_LING_MT,int64,178766,178766,100.0
80,QT_MAT_MED_IFA_LING_OTME,int64,178766,178766,100.0
81,QT_MAT_MED_IFA_LING_OE,int64,178766,178766,100.0
82,QT_MAT_MED_IFA_MATE,int64,178766,178766,100.0
83,QT_MAT_MED_IFA_MATE_MT,int64,178766,178766,100.0
84,QT_MAT_MED_IFA_MATE_OTME,int64,178766,178766,100.0
85,QT_MAT_MED_IFA_MATE_OE,int64,178766,178766,100.0
86,QT_MAT_MED_IFA_CIENC,int64,178766,178766,100.0
87,QT_MAT_MED_IFA_CIENC_MT,int64,178766,178766,100.0
