coluna,registros_total,registros_nulos,registros_preenchidos,percentual_nulos
NO_SUBDISTRITO,178766,177475,1291,99.28
CO_SUBDISTRITO,178766,177475,1291,99.28
TP_PODER_PUBLICO_PARCERIA,178766,168689,10077,94.36
TP_CATEGORIA_ESCOLA_PRIVADA,178766,137020,41746,76.65
NO_UF,178766,1,178765,0.0
NO_REGIAO,178766,1,178765,0.0
SG_UF,178766,1,178765,0.0
NO_MUNICIPIO,178766,1,178765,0.0
NO_REGIAO_GEOG_INTERM,178766,1,178765,0.0
CO_REGIAO_GEOG_INTERM,178766,1,178765,0.0
NO_REGIAO_GEOG_IMED,178766,1,178765,0.0
CO_REGIAO_GEOG_IMED,178766,1,178765,0.0
NO_DISTRITO,178766,1,178765,0.0
QT_MAT_ESP_CE_DM,178766,0,178766,0.0
QT_MAT_ESP_CE_DV,178766,0,178766,0.0
QT_MAT_ESP_CE_N,178766,0,178766,0.0
QT_MAT_ESP_CE_EAD,178766,0,178766,0.0
QT_MAT_BAS_INT,178766,0,178766,0.0
QT_MAT_INF_INT,178766,0,178766,0.0
QT_MAT_INF_CRE_INT,178766,0,178766,0.0
QT_MAT_INF_PRE_INT,178766,0,178766,0.0
QT_MAT_FUND_INT,178766,0,178766,0.0
QT_MAT_FUND_AI_INT,178766,0,178766,0.0
CO_UF,178766,0,178766,0.0
IN_PODER_PUBLICO_PARCERIA,178766,0,178766,0.0
QT_MAT_BAS,178766,0,178766,0.0
QT_MAT_INF,178766,0,178766,0.0
QT_MAT_INF_CRE,178766,0,178766,0.0
QT_MAT_INF_PRE,178766,0,178766,0.0
QT_MAT_FUND,178766,0,178766,0.0
QT_MAT_FUND_AI,178766,0,178766,0.0
QT_MAT_FUND_AI_1,178766,0,178766,0.0
QT_MAT_FUND_AI_2,178766,0,178766,0.0
QT_MAT_FUND_AI_3,178766,0,178766,0.0
QT_MAT_FUND_AI_4,178766,0,178766,0.0
QT_MAT_FUND_AI_5,178766,0,178766,0.0
QT_MAT_FUND_AF,178766,0,178766,0.0
QT_MAT_FUND_AF_6,178766,0,178766,0.0
QT_MAT_FUND_AF_7,178766,0,178766,0.0
QT_MAT_FUND_AF_8,178766,0,178766,0.0
QT_MAT_FUND_AF_9,178766,0,178766,0.0
QT_MAT_MED,178766,0,178766,0.0
QT_MAT_MED_1,178766,0,178766,0.0
QT_MAT_MED_2,178766,0,178766,0.0
QT_MAT_MED_3,178766,0,178766,0.0
QT_MAT_MED_4,178766,0,178766,0.0
QT_MAT_MED_NS,178766,0,178766,0.0
QT_MAT_MED_PROP,178766,0,178766,0.0
QT_MAT_MED_PROP_1,178766,0,178766,0.0
QT_MAT_MED_PROP_2,178766,0,178766,0.0
QT_MAT_MED_PROP_3,178766,0,178766,0.0
QT_MAT_MED_PROP_4,178766,0,178766,0.0
QT_MAT_MED_PROP_NS,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_MT,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_OTME,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_OE,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_1,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_2,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_3,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_4,178766,0,178766,0.0
QT_MAT_MED_IFTP_CT_NS,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_MT,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_OTME,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_OE,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_1,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_2,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_3,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_4,178766,0,178766,0.0
QT_MAT_MED_IFTP_QP_NS,178766,0,178766,0.0
QT_MAT_MED_NM,178766,0,178766,0.0
QT_MAT_MED_NM_1,178766,0,178766,0.0
QT_MAT_MED_NM_2,178766,0,178766,0.0
QT_MAT_MED_NM_3,178766,0,178766,0.0
QT_MAT_MED_NM_4,178766,0,178766,0.0
QT_MAT_MED_IFA,178766,0,178766,0.0
QT_MAT_MED_IFA_LING,178766,0,178766,0.0
QT_MAT_MED_IFA_LING_MT,178766,0,178766,0.0
QT_MAT_MED_IFA_LING_OTME,178766,0,178766,0.0
QT_MAT_MED_IFA_LING_OE,178766,0,178766,0.0
QT_MAT_MED_IFA_MATE,178766,0,178766,0.0
QT_MAT_MED_IFA_MATE_MT,178766,0,178766,0.0
QT_MAT_MED_IFA_MATE_OTME,178766,0,178766,0.0
QT_MAT_MED_IFA_MATE_OE,178766,0,178766,0.0
QT_MAT_MED_IFA_CIENC,178766,0,178766,0.0
QT_MAT_MED_IFA_CIENC_MT,178766,0,178766,0.0
QT_MAT_MED_IFA_CIENC_OTME,178766,0,178766,0.0
QT_MAT_MED_IFA_CIENC_OE,178766,0,178766,0.0
QT_MAT_MED_IFA_HUMA,178766,0,178766,0.0
QT_MAT_MED_IFA_HUMA_MT,178766,0,178766,0.0
QT_MAT_MED_IFA_HUMA_OTME,178766,0,178766,0.0
QT_MAT_MED_IFA_HUMA_OE,178766,0,178766,0.0
QT_MAT_PROF,178766,0,178766,0.0
QT_MAT_PROF_TEC,178766,0,178766,0.0
QT_MAT_PROF_TEC_CONC,178766,0,178766,0.0
QT_MAT_PROF_TEC_SUBS,178766,0,178766,0.0
QT_MAT_PROF_TEC_IFTP_CT,178766,0,178766,0.0
QT_MAT_PROF_NAO_TEC,178766,0,178766,0.0
QT_MAT_PROF_IFTP_QP,178766,0,178766,0.0
QT_MAT_PROF_FIC_CONC,178766,0,178766,0.0
QT_MAT_EJA,178766,0,178766,0.0
QT_MAT_EJA_FUND,178766,0,178766,0.0
QT_MAT_EJA_FUND_NPROF,178766,0,178766,0.0
QT_MAT_EJA_FUND_AI,178766,0,178766,0.0
QT_MAT_EJA_FUND_AF,178766,0,178766,0.0
QT_MAT_EJA_FUND_FIC,178766,0,178766,0.0
QT_MAT_EJA_MED,178766,0,178766,0.0
QT_MAT_EJA_MED_NPROF,178766,0,178766,0.0
QT_MAT_EJA_MED_FIC,178766,0,178766,0.0
QT_MAT_EJA_MED_TEC,178766,0,178766,0.0
QT_MAT_ESP,178766,0,178766,0.0
QT_MAT_ESP_INF,178766,0,178766,0.0
