ano,variavel,valores_encontrados
2019,TP_DEPENDENCIA,"1, 2, 3, 4"
2019,TP_LOCALIZACAO,"1, 2"
2019,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2020,TP_DEPENDENCIA,"1, 2, 3, 4"
2020,TP_LOCALIZACAO,"1, 2"
2020,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2021,TP_DEPENDENCIA,"1, 2, 3, 4"
2021,TP_LOCALIZACAO,"1, 2"
2021,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2022,TP_DEPENDENCIA,"1, 2, 3, 4"
2022,TP_LOCALIZACAO,"1, 2"
2022,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2023,TP_DEPENDENCIA,"1, 2, 3, 4"
2023,TP_LOCALIZACAO,"1, 2"
2023,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2024,TP_DEPENDENCIA,"1, 2, 3, 4"
2024,TP_LOCALIZACAO,"1, 2"
2024,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
2025,TP_DEPENDENCIA,"1, 2, 3, 4"
2025,TP_LOCALIZACAO,"1, 2"
2025,TP_SITUACAO_FUNCIONAMENTO,"1, 2, 3"
