tabela,variavel,descricao,primeiro_ano,ultimo_ano,status_coleta,anos_nao_coletados,comparabilidade_preliminar,categoria,notas_importantes
Escola,NU_ANO_CENSO,Ano do Censo,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,NO_REGIAO,Nome da Região Geográfica,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,CO_REGIAO,Código da Região Geográfica,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,NO_UF,Nome da Unidade da Federação,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,SG_UF,Sigla da Unidade da Federação,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,CO_UF,Código da Unidade da Federação,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,NO_MUNICIPIO,Nome do Município,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,CO_MUNICIPIO,Código do Município,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,NO_REGIAO_GEOG_INTERM,Nome da Região Geográfica Intermediária,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,,"A Fundação Instituto Brasileiro de Geografia e Estatísticas (IBGE), propôs em 2017 uma nova divisão geográfica regional do Brasil que corresponde às antigas Mesorregiões e Microrregiões. Assim, a partir de 2019, as regiões geográficas regionais são classificadas em Regiões Geográficas Intermediárias e Regiões Imediatas."
Escola,CO_REGIAO_GEOG_INTERM,Código da Região Geográfica Intermediária,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,,
Escola,NO_REGIAO_GEOG_IMED,Nome da Região Geográfica Imediata,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,,
Escola,CO_REGIAO_GEOG_IMED,Código da Região Geográfica Imediata,2019.0,2025.0,Coleta iniciada em 2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Comparável apenas no período de coleta,,
Escola,NO_MESORREGIAO,Nome da Mesorregião,2007.0,2024.0,Descontinuada após 2024,2025,Comparável apenas no período de coleta,,
Escola,CO_MESORREGIAO,Código da Mesorregião,2007.0,2024.0,Descontinuada após 2024,2025,Comparável apenas no período de coleta,,
Escola,NO_MICRORREGIAO,Nome da Microrregião,2007.0,2024.0,Descontinuada após 2024,2025,Comparável apenas no período de coleta,,
Escola,CO_MICRORREGIAO,Código da Microrregião,2007.0,2024.0,Descontinuada após 2024,2025,Comparável apenas no período de coleta,,
Escola,NO_DISTRITO,Divisão Intramunicipal - Nome do Distrito,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,CO_DISTRITO,Divisão Intramunicipal - Código do Distrito,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,NO_SUBDISTRITO,Divisão Intramunicipal - Nome do Subdistrito,2025.0,2025.0,Coleta iniciada em 2025,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Comparável apenas no período de coleta,,"A partir do Censo Escolar de 2025, a coleta de informações passou a contemplar dados geográficos desagregados pelo Código das Regiões Administrativas exclusivamente para o Distrito Federal. Em decorrência dessa alteração, nos Microdados, o nome e o código das Regiões Administrativas do Distrito Federal passaram a ser incorporados às variáveis de Código e Nome do Distrito.
Assim, nesta versão dos Microdados, as variáveis NO_REGIAO_ADMINISTRATIVA e CO_REGIAO_ADMINISTRATIVA foram, respectivamente, integradas às variáveis NO_DISTRITO e CO_DISTRITO."
Escola,CO_SUBDISTRITO,Divisão Intramunicipal - Código do Subdistrito,2025.0,2025.0,Coleta iniciada em 2025,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Comparável apenas no período de coleta,,
Escola,NO_REGIAO_ADMINISTRATIVA,Nome da Região Administrativa referente exclusivamente às regiões administrativas do Distrito Federal (DF),2025.0,2025.0,Coleta iniciada em 2025,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Comparável apenas no período de coleta,,
Escola,CO_REGIAO_ADMINISTRATIVA,Código da Região Administrativa referente exclusivamente às regiões administrativas do Distrito Federal (DF),2025.0,2025.0,Coleta iniciada em 2025,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Comparável apenas no período de coleta,,
Escola,NO_ENTIDADE,Nome da Escola,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
Escola,CO_ENTIDADE,Código da Escola,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,,
