tabela,variavel,descricao,notas_importantes
Escola,NO_REGIAO_GEOG_INTERM,Nome da Região Geográfica Intermediária,"A Fundação Instituto Brasileiro de Geografia e Estatísticas (IBGE), propôs em 2017 uma nova divisão geográfica regional do Brasil que corresponde às antigas Mesorregiões e Microrregiões. Assim, a partir de 2019, as regiões geográficas regionais são classificadas em Regiões Geográficas Intermediárias e Regiões Imediatas."
Escola,NO_SUBDISTRITO,Divisão Intramunicipal - Nome do Subdistrito,"A partir do Censo Escolar de 2025, a coleta de informações passou a contemplar dados geográficos desagregados pelo Código das Regiões Administrativas exclusivamente para o Distrito Federal. Em decorrência dessa alteração, nos Microdados, o nome e o código das Regiões Administrativas do Distrito Federal passaram a ser incorporados às variáveis de Código e Nome do Distrito.
Assim, nesta versão dos Microdados, as variáveis NO_REGIAO_ADMINISTRATIVA e CO_REGIAO_ADMINISTRATIVA foram, respectivamente, integradas às variáveis NO_DISTRITO e CO_DISTRITO."
Escola,CO_REDE,Rede de Ensino,"Variável incluída nos Microdados com o objetivo de facilitar a identificação e a extração de informações por Rede de Ensino (Pública ou Privada). Trata-se de variável derivada da variável TP_DEPENDENCIA, sendo que a rede pública compreende as esferas Federal, Estadual e Municipal."
Escola,DS_ENDERECO,Endereço,"Os campos de endereço da escola (DS_ENDERECO, NU_ENDERECO, DS_COMPLEMENTO, NO_BAIRRO, CO_CEP, LATITUDE e LONGITUDE) foram retirados dos Microdados do Censo Escolar da Educação Básica 2025. Essas informações permanecem disponíveis para consulta pública no Catálogo de Escolas do Inep: https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas.
Os campos NU_DDD e NU_TELEFONE também foram suprimidos dos Microdados, uma vez que não passam por procedimentos específicos de crítica de consistência e foram identificados registros contendo telefones pessoais. A retirada desses campos visa resguardar a privacidade dos titulares dos dados e atender às disposições da Lei Geral de Proteção de Dados Pessoais (Lei nº 13.709/2018) e da Lei de Acesso à Informação (Lei nº 12.527/2011), que preveem a proteção de informações pessoais contra divulgação indevida.
"
Escola,IN_PODER_PUBLICO_PARCERIA,"Parceria ou convênio com o poder público (parceria ou convênio firmado entre a Administração Pública e instituições privadas ou instituições públicas de ensino, autarquias e fundações da administração indireta e demais instituições de educação profissional técnica de nível médio dos serviços sociais autônomos que integram o sistema federal de ensino, para financiamento do atendimento educacional ou para a oferta do itinerário de formação técnica e profissional do ensino médio)","Entre 2007 e 2021:
A variável IN_CONVENIADA_PP foi renomeada para:
IN_PODER_PUBLICO_PARCERIA "
Escola,TP_PODER_PUBLICO_PARCERIA,Poder público responsável pela parceria ou convênio entre a Administração Pública e outras instituições,"Entre 2007 e 2021:
A variável TP_CONVENIO_PODER_PUBLICO foi renomeada para: TP_PODER_PUBLICO_PARCERIA "
Escola,IN_MANT_ESCOLA_PRIV_ONG_OSCIP,"Mantenedora da escola privada - Organização Não Governamental (ONG) - internacional ou nacional.
Organização da Sociedade Civil de Interesse Público (Oscip)","A partir de 2019:
Variável derivada juntando IN_MANT_ESCOLA_PRIVADA_ONG e IN_MANT_ESCOLA_PRIVADA_OSCIP "
Escola,IN_ESGOTO_FOSSA,Esgoto sanitário - Fossa,"A partir de 2019:
Variável derivada juntando IN_ESGOTO_FOSSA_SEPTICA e IN_ESGOTO_FOSSA_COMUM"
Escola,IN_BANHEIRO_CHUVEIRO,Dependências físicas existentes e utilizadas na escola - Banheiro ou vestiário com chuveiro,"De 2012 a 2018: ""Banheiro com chuveiro""
A partir de 2019: ""Banheiro ou vestiário com chuveiro"""
Escola,IN_DORMITORIO_ALUNO,Dependências físicas existentes e utilizadas na escola - Dormitório de aluno(a),"De 2012 a 2018: ""Alojamento de aluno""
A partir de 2019: ""Dormitório de aluno(a)"
Escola,IN_DORMITORIO_PROFESSOR,Dependências físicas existentes e utilizadas na escola - Dormitório de professor(a),"De 2012 a 2018: ""Alojamento de professor""
A partir de 2019: ""Dormitório de professor(a)"""
Escola,QT_SALAS_UTILIZADAS,Número de salas de aula utilizadas na escola (dentro e fora do prédio),"A partir de 2019:
Variável derivada juntando QT_SALAS_UTILIZADAS_DENTRO e QT_SALAS_UTILIZADAS_FORA"
Matricula,NO_REGIAO_GEOG_INTERM,Nome da Região Geográfica Intermediária,"A Fundação Instituto Brasileiro de Geografia e Estatísticas (IBGE), propôs em 2017 uma nova divisão geográfica regional do Brasil que corresponde às antigas Mesorregiões e Microrregiões. Assim, a partir de 2019, as regiões geográficas regionais são classificadas em Regiões Geográficas Intermediárias e Regiões Imediatas. No Censo Escolar, para fins de comparação ao longo dos anos, foram mantidas as variáveis de Mesorregiões e Microrregiões."
Matricula,NO_SUBDISTRITO,Divisão Intramunicipal - Nome do Subdistrito,"A partir do Censo Escolar de 2025, a coleta de informações passou a contemplar dados geográficos desagregados pelo Código das Regiões Administrativas exclusivamente para o Distrito Federal. Em decorrência dessa alteração, nos Microdados, o nome e o código das Regiões Administrativas do Distrito Federal passaram a ser incorporados às variáveis de Código e Nome do Distrito.
Assim, nesta versão dos Microdados, as variáveis NO_REGIAO_ADMINISTRATIVA e CO_REGIAO_ADMINISTRATIVA foram, respectivamente, integradas às variáveis NO_DISTRITO e CO_DISTRITO."
Matricula,IN_PODER_PUBLICO_PARCERIA,"Parceria ou convênio com o poder público (parceria ou convênio firmado entre a Administração Pública e instituições privadas ou instituições públicas de ensino, autarquias e fundações da administração indireta e demais instituições de educação profissional técnica de nível médio dos serviços sociais autônomos que integram o sistema federal de ensino, para financiamento do atendimento educacional ou para a oferta do itinerário de formação técnica e profissional do ensino médio)","Entre 2007 e 2021:
A variável IN_CONVENIADA_PP foi renomeada para:
IN_PODER_PUBLICO_PARCERIA "
Matricula,TP_PODER_PUBLICO_PARCERIA,Poder público responsável pela parceria ou convênio entre a Administração Pública e outras instituições,"Entre 2007 e 2021:
A variável TP_CONVENIO_PODER_PUBLICO foi renomeada para: TP_PODER_PUBLICO_PARCERIA "
Matricula,QT_MAT_MED_ARTI_IFTP_CT,Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico,Não inclui o Ensino Médio Normal/Magistério. Variável descontinuada porque o valor das turmas de FGB e Ensino Médio Propedêutico será igual ao valor da variável: QT_MAT_MED_IFTP_CT.
Matricula,QT_MAT_MED_IFTP_CT_MT,Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico ofertado na mesma turma,Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_CT_MT.
