variavel,2019,2020,2021,2022,2023,2024,2025
CO_ENTIDADE,Sim,Sim,Sim,Sim,Sim,Sim,Sim
CO_MUNICIPIO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
CO_REGIAO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
CO_UF,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_ACESSIBILIDADE_INEXISTENTE,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_AGUA_POTAVEL,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_BANHEIRO_PNE,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_BIBLIOTECA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_ENERGIA_REDE_PUBLICA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_ESGOTO_REDE_PUBLICA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_INTERNET,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_LABORATORIO_CIENCIAS,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_LABORATORIO_INFORMATICA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_QUADRA_ESPORTES,Sim,Sim,Sim,Sim,Sim,Sim,Sim
IN_SALA_LEITURA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
NO_ENTIDADE,Sim,Sim,Sim,Sim,Sim,Sim,Sim
NO_MUNICIPIO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
NO_REGIAO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
NO_UF,Sim,Sim,Sim,Sim,Sim,Sim,Sim
NU_ANO_CENSO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
QT_DOC_BAS,Sim,Sim,Sim,Sim,Sim,Sim,Sim
QT_MAT_BAS,Sim,Sim,Sim,Sim,Sim,Sim,Sim
QT_SALAS_UTILIZADAS,Sim,Sim,Sim,Sim,Sim,Sim,Sim
SG_UF,Sim,Sim,Sim,Sim,Sim,Sim,Sim
TP_DEPENDENCIA,Sim,Sim,Sim,Sim,Sim,Sim,Sim
TP_LOCALIZACAO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
TP_SITUACAO_FUNCIONAMENTO,Sim,Sim,Sim,Sim,Sim,Sim,Sim
