ano,indicador,nome_apresentacao,escolas_ativas,registros_validos,registros_nulos,com_recurso,sem_recurso,percentual
2019,IN_INTERNET,IN_INTERNET,182468,182468,0,137776,44692,0.7550693820286297
2019,IN_BIBLIOTECA,IN_BIBLIOTECA,182468,182468,0,66757,115711,0.3658559309029528
2019,IN_SALA_LEITURA,IN_SALA_LEITURA,182468,182468,0,47459,135009,0.260094920753228
2019,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_CIENCIAS,182468,182468,0,20987,161481,0.11501742771335248
2019,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_INFORMATICA,182468,182468,0,63875,118593,0.35006138062564396
2019,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES,182468,182468,0,65631,116837,0.35968498586053443
2019,IN_BANHEIRO_PNE,IN_BANHEIRO_PNE,182468,182468,0,81480,100988,0.44654405155972554
2019,IN_ACESSIBILIDADE_INEXISTENTE,Acessibilidade,182468,182468,0,102262,80206,0.5604379946072736
2019,IN_AGUA_POTAVEL,IN_AGUA_POTAVEL,182468,182468,0,171256,11212,0.9385536094000044
2019,IN_ESGOTO_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,182468,182468,0,103204,79264,0.56560054365697
2019,IN_ENERGIA_REDE_PUBLICA,IN_ENERGIA_REDE_PUBLICA,182468,182468,0,175994,6474,0.9645198062125961
2020,IN_INTERNET,IN_INTERNET,181279,181279,0,144594,36685,0.7976323788193889
2020,IN_BIBLIOTECA,IN_BIBLIOTECA,181279,181279,0,65901,115378,0.36353355876852805
2020,IN_SALA_LEITURA,IN_SALA_LEITURA,181279,181279,0,48615,132664,0.26817778121017877
2020,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_CIENCIAS,181279,181279,0,22158,159121,0.1222314774463672
2020,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_INFORMATICA,181279,181279,0,62478,118801,0.34465106272651547
2020,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES,181279,181279,0,66334,114945,0.3659221421124344
2020,IN_BANHEIRO_PNE,IN_BANHEIRO_PNE,181279,181279,0,84720,96559,0.467345914308883
2020,IN_ACESSIBILIDADE_INEXISTENTE,Acessibilidade,181279,181279,0,109588,71691,0.604526724000022
2020,IN_AGUA_POTAVEL,IN_AGUA_POTAVEL,181279,181279,0,171174,10105,0.9442571947109152
2020,IN_ESGOTO_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,181279,181279,0,102814,78465,0.5671589097468543
2020,IN_ENERGIA_REDE_PUBLICA,IN_ENERGIA_REDE_PUBLICA,181279,181279,0,175010,6269,0.965417946921596
2021,IN_INTERNET,IN_INTERNET,180057,180057,0,149185,30872,0.8285431835474322
2021,IN_BIBLIOTECA,IN_BIBLIOTECA,180057,180057,0,65982,114075,0.36645062396907646
