ano,tp_situacao_funcionamento,variavel,registros,nulos,zeros,positivos,negativos,soma
2019,1,QT_MAT_BAS,182468,0,1858,180610,0,47874246.0
2019,1,QT_DOC_BAS,182468,0,2137,180331,0,2813042.0
2019,1,QT_SALAS_UTILIZADAS,182468,0,0,182468,0,1552007.0
2019,2,QT_MAT_BAS,40468,0,40468,0,0,0.0
2019,2,QT_DOC_BAS,40468,0,40468,0,0,0.0
2019,2,QT_SALAS_UTILIZADAS,40468,0,40468,0,0,0.0
2019,3,QT_MAT_BAS,5585,0,5585,0,0,0.0
2019,3,QT_DOC_BAS,5585,0,5585,0,0,0.0
2019,3,QT_SALAS_UTILIZADAS,5585,0,5585,0,0,0.0
2020,1,QT_MAT_BAS,181279,0,1746,179533,0,47295294.0
2020,1,QT_DOC_BAS,181279,0,2230,179049,0,2757776.0
2020,1,QT_SALAS_UTILIZADAS,181279,0,0,181279,0,1539211.0
2020,2,QT_MAT_BAS,36838,0,36838,0,0,0.0
2020,2,QT_DOC_BAS,36838,0,36838,0,0,0.0
2020,2,QT_SALAS_UTILIZADAS,36838,0,36838,0,0,0.0
2020,3,QT_MAT_BAS,6112,0,6112,0,0,0.0
2020,3,QT_DOC_BAS,6112,0,6112,0,0,0.0
2020,3,QT_SALAS_UTILIZADAS,6112,0,6112,0,0,0.0
2021,1,QT_MAT_BAS,180057,0,1687,178370,0,46668401.0
2021,1,QT_DOC_BAS,180057,0,1931,178126,0,2846169.0
2021,1,QT_SALAS_UTILIZADAS,180057,0,0,180057,0,1520230.0
2021,2,QT_MAT_BAS,36502,0,36502,0,0,0.0
2021,2,QT_DOC_BAS,36502,0,36502,0,0,0.0
2021,2,QT_SALAS_UTILIZADAS,36502,0,36502,0,0,0.0
2021,3,QT_MAT_BAS,4581,0,4581,0,0,0.0
2021,3,QT_DOC_BAS,4581,0,4581,0,0,0.0
2021,3,QT_SALAS_UTILIZADAS,4581,0,4581,0,0,0.0
2022,1,QT_MAT_BAS,184332,5986,0,178346,0,47382074.0
2022,1,QT_DOC_BAS,184332,6221,0,178111,0,2924306.0
2022,1,QT_SALAS_UTILIZADAS,184332,4259,0,180073,0,1537955.0
2022,2,QT_MAT_BAS,36526,36526,0,0,0,0.0
2022,2,QT_DOC_BAS,36526,36526,0,0,0,0.0
2022,2,QT_SALAS_UTILIZADAS,36526,36526,0,0,0,0.0
2022,3,QT_MAT_BAS,3791,3791,0,0,0,0.0
2022,3,QT_DOC_BAS,3791,3791,0,0,0,0.0
2022,3,QT_SALAS_UTILIZADAS,3791,3791,0,0,0,0.0
2023,1,QT_MAT_BAS,180230,1754,0,178476,0,47304632.0
2023,1,QT_DOC_BAS,180230,1984,0,178246,0,2934558.0
2023,1,QT_SALAS_UTILIZADAS,180230,0,0,180230,0,1577976.0
2023,2,QT_MAT_BAS,32083,32083,0,0,0,0.0
2023,2,QT_DOC_BAS,32083,32083,0,0,0,0.0
2023,2,QT_SALAS_UTILIZADAS,32083,32083,0,0,0,0.0
2023,3,QT_MAT_BAS,5312,5312,0,0,0,0.0
2023,3,QT_DOC_BAS,5312,5312,0,0,0,0.0
2023,3,QT_SALAS_UTILIZADAS,5312,5312,0,0,0,0.0
2024,1,QT_MAT_BAS,181065,1779,0,179286,0,47088922.0
2024,1,QT_DOC_BAS,181065,2068,0,178997,0,2939002.0
2024,1,QT_SALAS_UTILIZADAS,181065,0,0,181065,0,1608074.0
2024,2,QT_MAT_BAS,31321,31321,0,0,0,0.0
2024,2,QT_DOC_BAS,31321,31321,0,0,0,0.0
2024,2,QT_SALAS_UTILIZADAS,31321,31321,0,0,0,0.0
2024,3,QT_MAT_BAS,3159,3159,0,0,0,0.0
2024,3,QT_DOC_BAS,3159,3159,0,0,0,0.0
2024,3,QT_SALAS_UTILIZADAS,3159,3159,0,0,0,0.0
2025,1,QT_MAT_BAS,180540,1774,0,178766,0,46018380.0
2025,1,QT_DOC_BAS,180540,1768,299,178473,0,2992045.0
2025,1,QT_SALAS_UTILIZADAS,180540,0,0,180540,0,1646884.0
2025,2,QT_MAT_BAS,29780,29780,0,0,0,0.0
2025,2,QT_DOC_BAS,29780,29780,0,0,0,0.0
2025,2,QT_SALAS_UTILIZADAS,29780,29780,0,0,0,0.0
2025,3,QT_MAT_BAS,3872,3872,0,0,0,0.0
2025,3,QT_DOC_BAS,3872,3872,0,0,0,0.0
2025,3,QT_SALAS_UTILIZADAS,3872,3872,0,0,0,0.0
