ano,grupo,teste,esperado,observado,status
Geral,Período,Anos presentes,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",OK
Geral,Chaves,Chaves nulas,0,0,OK
Geral,Chaves,ID_ANO_ENTIDADE duplicada,0,0,OK
2019,Registros,Quantidade de registros,228521,228521,OK
2019,Indicadores,Total QT_MAT_BAS,47874246,47874246.0,OK
2019,Indicadores,Total QT_DOC_BAS,2813042,2813042.0,OK
2019,Indicadores,Total QT_SALAS_UTILIZADAS,1552007,1552007.0,OK
2019,Categorias,Distribuição TP_DEPENDENCIA,"{1: 717, 2: 33901, 3: 141382, 4: 52521}","{1: 717, 2: 33901, 3: 141382, 4: 52521}",OK
2019,Categorias,Distribuição TP_LOCALIZACAO,"{1: 143197, 2: 85324}","{1: 143197, 2: 85324}",OK
2019,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 182468, 2: 40468, 3: 5585}","{1: 182468, 2: 40468, 3: 5585}",OK
2020,Registros,Quantidade de registros,224229,224229,OK
2020,Indicadores,Total QT_MAT_BAS,47295294,47295294.0,OK
2020,Indicadores,Total QT_DOC_BAS,2757776,2757776.0,OK
2020,Indicadores,Total QT_SALAS_UTILIZADAS,1539211,1539211.0,OK
2020,Categorias,Distribuição TP_DEPENDENCIA,"{1: 714, 2: 33658, 3: 138033, 4: 51824}","{1: 714, 2: 33658, 3: 138033, 4: 51824}",OK
2020,Categorias,Distribuição TP_LOCALIZACAO,"{1: 142615, 2: 81614}","{1: 142615, 2: 81614}",OK
2020,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 181279, 2: 36838, 3: 6112}","{1: 181279, 2: 36838, 3: 6112}",OK
2021,Registros,Quantidade de registros,221140,221140,OK
2021,Indicadores,Total QT_MAT_BAS,46668401,46668401.0,OK
2021,Indicadores,Total QT_DOC_BAS,2846169,2846169.0,OK
2021,Indicadores,Total QT_SALAS_UTILIZADAS,1520230,1520230.0,OK
2021,Categorias,Distribuição TP_DEPENDENCIA,"{1: 714, 2: 33564, 3: 134369, 4: 52493}","{1: 714, 2: 33564, 3: 134369, 4: 52493}",OK
2021,Categorias,Distribuição TP_LOCALIZACAO,"{1: 143252, 2: 77888}","{1: 143252, 2: 77888}",OK
2021,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 180057, 2: 36502, 3: 4581}","{1: 180057, 2: 36502, 3: 4581}",OK
2022,Registros,Quantidade de registros,224649,224649,OK
2022,Indicadores,Total QT_MAT_BAS,47382074.0,47382074.0,OK
2022,Indicadores,Total QT_DOC_BAS,2924306.0,2924306.0,OK
2022,Indicadores,Total QT_SALAS_UTILIZADAS,1537955.0,1537955.0,OK
2022,Categorias,Distribuição TP_DEPENDENCIA,"{1: 735, 2: 33460, 3: 132629, 4: 57825}","{1: 735, 2: 33460, 3: 132629, 4: 57825}",OK
2022,Categorias,Distribuição TP_LOCALIZACAO,"{1: 148926, 2: 75723}","{1: 148926, 2: 75723}",OK
2022,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 184332, 2: 36526, 3: 3791}","{1: 184332, 2: 36526, 3: 3791}",OK
2023,Registros,Quantidade de registros,217625,217625,OK
2023,Indicadores,Total QT_MAT_BAS,47304632.0,47304632.0,OK
2023,Indicadores,Total QT_DOC_BAS,2934558.0,2934558.0,OK
2023,Indicadores,Total QT_SALAS_UTILIZADAS,1577976.0,1577976.0,OK
2023,Categorias,Distribuição TP_DEPENDENCIA,"{1: 725, 2: 33546, 3: 130709, 4: 52645}","{1: 725, 2: 33546, 3: 130709, 4: 52645}",OK
2023,Categorias,Distribuição TP_LOCALIZACAO,"{1: 144162, 2: 73463}","{1: 144162, 2: 73463}",OK
2023,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 180230, 2: 32083, 3: 5312}","{1: 180230, 2: 32083, 3: 5312}",OK
2024,Registros,Quantidade de registros,215545,215545,OK
2024,Indicadores,Total QT_MAT_BAS,47088922.0,47088922.0,OK
2024,Indicadores,Total QT_DOC_BAS,2939002.0,2939002.0,OK
2024,Indicadores,Total QT_SALAS_UTILIZADAS,1608074.0,1608074.0,OK
2024,Categorias,Distribuição TP_DEPENDENCIA,"{1: 724, 2: 33254, 3: 128999, 4: 52568}","{1: 724, 2: 33254, 3: 128999, 4: 52568}",OK
2024,Categorias,Distribuição TP_LOCALIZACAO,"{1: 144456, 2: 71089}","{1: 144456, 2: 71089}",OK
2024,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 181065, 2: 31321, 3: 3159}","{1: 181065, 2: 31321, 3: 3159}",OK
2025,Registros,Quantidade de registros,214192,214192,OK
2025,Indicadores,Total QT_SALAS_UTILIZADAS,1646884.0,1646884.0,OK
2025,Indicadores,Total QT_MAT_BAS,46018380,46018380.0,OK
2025,Indicadores,Total QT_DOC_BAS,2992045,2992045.0,OK
2025,Categorias,Distribuição TP_DEPENDENCIA,"{1: 728, 2: 33561, 3: 128145, 4: 51758}","{1: 728, 2: 33561, 3: 128145, 4: 51758}",OK
2025,Categorias,Distribuição TP_LOCALIZACAO,"{1: 144217, 2: 69975}","{1: 144217, 2: 69975}",OK
2025,Categorias,Distribuição TP_SITUACAO_FUNCIONAMENTO,"{1: 180540, 2: 29780, 3: 3872}","{1: 180540, 2: 29780, 3: 3872}",OK
